driver_id,policy_number,first_name,last_name,vin,gender,vehicle_make,vehicle_model,vehicle_year,claim_history
52,059-4212-6232,Nathalia,O'Doherty,JHMGE8G27AC722019,Female,Tesla,Model X,2019,4
53,466-0600-8507,Tobiah,Fudger,1GKS1CKJXFR858095,Male,Tesla,Model Y,2023,4
54,718-3259-4542,Xavier,Ley,WAUCFAFR3EA518464,Male,Tesla,Model 3,2016,1
55,652-5523-1457,Cyndi,Pordall,JTHDU1EF0E5148716,Female,Tesla,Model Y,2023,5
56,986-0353-8035,Larina,Jacke,1G6KD57Y91U125193,Non-binary,Tesla,Model Y,2020,3
57,362-5990-8233,Karlens,Drinan,WAUHE78P48A925043,Male,Tesla,Model X,2016,5
58,488-1854-7787,Fran,Ioan,WAUFL54D91N859486,Male,Tesla,Model X,2017,1
59,810-2544-4645,Eli,Cruz,WBANA53535C058310,Male,Tesla,Model 3,2017,6
60,483-8899-8142,Portie,Skerrett,1N6AA0CA4FN868341,Male,Tesla,Model S,2023,1
61,497-5123-4292,Valida,Wintersgill,19UUA66286A556958,Female,Tesla,Model 3,2023,3
62,396-8034-3534,Darrel,Gosdin,WDDNG7BB4AA673397,Genderqueer,Tesla,Model S,2018,4
63,621-1210-0651,Chicky,Duffree,WAUDC68D71A277109,Male,Tesla,Model Y,2023,3
64,748-6080-2659,Tallou,Martinet,JTHBE1D27E5985997,Female,Tesla,Model Y,2020,3
65,615-9548-5073,Antony,Llorens,1FMJU1J51AE540771,Male,Tesla,Model Y,2015,4
66,136-3213-8508,Noami,Weafer,WAUVT68E22A802401,Female,Tesla,Model 3,2016,2
67,898-5396-5593,Parrnell,Glader,1C6RD7HT3CS010475,Male,Tesla,Model 3,2018,4
68,470-6221-4044,Dorene,Couper,KMHFH4JG5FA004792,Female,Tesla,Model 3,2019,4
69,346-5330-8045,Mile,Purkiss,1NXBU4EE2AZ117593,Male,Tesla,Model S,2018,4
70,748-0672-2981,Kevyn,Toolin,WAURD68D41A621191,Female,Tesla,Model S,2021,4
71,404-9005-9733,Virgilio,Kemble,2GKALMEKXF6183263,Male,Tesla,Model X,2017,4
72,365-4894-4247,Timothy,Witz,WAU4FBFL5BA804107,Male,Tesla,Model 3,2019,4
73,389-6300-4070,Mahala,MacDermid,KL4CJFSB3EB611447,Female,Tesla,Model X,2019,7
74,713-7419-8097,Loella,Precious,3VWA17AU8FM447030,Female,Tesla,Model X,2017,7
75,466-2332-7667,Barclay,Rousel,SALAB2D46BA763475,Male,Tesla,Model Y,2015,2
76,461-0791-2837,Tymon,Dodds,KM8NU4CC0CU160069,Male,Tesla,Model Y,2023,6
77,480-9824-9123,Avie,Inchan,JTDKDTB31F1941532,Female,Tesla,Model X,2023,3
78,366-9407-4820,Morey,Troyes,1G6KD57Y53U020945,Male,Tesla,Model S,2021,8
79,358-8855-5915,Rebbecca,Gladdish,WAUBF98E17A834582,Female,Tesla,Model X,2020,6
80,113-5674-4376,Henderson,Baggallay,JH4DC54834S823844,Male,Tesla,Model X,2018,2
81,046-5469-7891,Claudianus,Bettington,1G4HJ5EM1BU424464,Agender,Tesla,Model S,2022,6
82,195-7845-0026,Gertrud,Potapczuk,JTHBL5EF9F1612905,Female,Tesla,Model 3,2022,1
83,164-5168-5724,Micki,McManus,1FMEU6FE0AU105480,Female,Tesla,Model S,2022,4
84,756-6795-9538,Babb,Northing,1G4GE5EV7AF952232,Female,Tesla,Model Y,2019,3
85,803-3202-9240,Agosto,Blown,SCBFT7ZA3DC541332,Male,Tesla,Model Y,2015,7
86,275-0934-0803,Henri,Puddefoot,1G4PT5SV8D4324044,Male,Tesla,Model Y,2017,6
87,952-2006-7839,Marie,Brandreth,1G4GE5G36EF393872,Female,Tesla,Model S,2020,1
88,789-7899-0366,Barb,Thunnercliffe,1GD020CG4CF421168,Female,Tesla,Model X,2022,3
89,446-0443-8713,Clarisse,Glanister,1FTFW1E86AK082395,Female,Tesla,Model 3,2020,4
90,963-6645-0823,Gilda,Bernini,3GYT4LEF2CG342799,Female,Tesla,Model 3,2021,5
91,930-6085-1811,Richmond,Merida,1GYS4CKJ1FR557034,Male,Tesla,Model 3,2017,5
92,993-4043-0785,Gawen,Eastment,2T2BK1BA5FC415436,Male,Tesla,Model Y,2020,8
93,749-0448-6320,Cass,Norvel,WAU4FAFR1DA857128,Female,Tesla,Model S,2018,0
94,839-2511-6203,Robina,Woollacott,1FTNS1EW1AD112784,Female,Tesla,Model 3,2017,6
95,405-4486-1267,Cristiano,Bocken,5N1AA0NC8FN555466,Male,Tesla,Model Y,2017,4
96,283-6827-5452,Lanie,Waddams,JTHBK1GG1D2142670,Male,Tesla,Model S,2017,4
97,652-2377-5568,Rani,McLellan,5J8TB2H28AA775233,Female,Tesla,Model 3,2023,4
98,417-7157-5566,Selina,Mahady,WBANE53537B247598,Female,Tesla,Model S,2023,1
99,580-0594-8782,Aurore,Chatband,3VWF17AT4FM690217,Female,Tesla,Model X,2022,3
100,137-6624-8266,Darby,Patten,1FTEX1CM7BK781786,Male,Tesla,Model X,2016,2
101,812-4101-8207,Bibbye,Loomes,WAUTFAFHXBN964073,Female,Tesla,Model Y,2023,5
102,178-5225-2338,Bord,Cleminson,4USDU53598L426591,Male,Tesla,Model X,2016,5
103,611-8883-2886,Diann,Gater,SCFFDEDN9CG182103,Female,Tesla,Model Y,2016,3
104,430-9746-2156,Cherlyn,Phinn,1ZVBP8AM6E5594377,Female,Tesla,Model X,2015,7
105,214-7615-9669,Curcio,Drinkwater,5N1AR2MM5DC432344,Male,Tesla,Model S,2015,5
106,638-2269-3947,Florencia,Klaffs,WAUSF78E07A034098,Female,Tesla,Model 3,2023,7
107,863-9231-9206,Paulie,Pullen,WUAW2AFCXEN086099,Male,Tesla,Model X,2016,6
108,287-3525-4489,Gavin,Douch,1FMJU1H55AE450593,Male,Tesla,Model X,2023,6
109,619-4724-9083,Marcelle,Nazer,5FPYK1F22CB858417,Female,Tesla,Model S,2019,4
110,461-5477-3618,Magnum,Carnaman,JTDKDTB30D1345017,Genderfluid,Tesla,Model X,2016,1
111,359-5120-7588,Wyatan,Redon,WBAUN13558V547289,Male,Tesla,Model 3,2016,4
112,124-9456-5490,Luella,Corwood,SCBCR73W29C433569,Female,Tesla,Model Y,2022,3
113,569-2098-9098,Vida,Storch,1G6DX67D490253010,Female,Tesla,Model Y,2015,9
114,415-5883-4429,Tanner,Form,TRUTC28N651400345,Male,Tesla,Model X,2019,3
115,294-6003-6749,Tish,Goede,1G6YV36A385997986,Female,Tesla,Model S,2016,3
116,638-0915-0533,Jedidiah,Mogford,WBAKX8C52CC144224,Male,Tesla,Model 3,2015,1
117,607-2941-2834,Lydon,Kilmurry,3MZBM1U76EM112779,Male,Tesla,Model X,2018,8
118,306-7396-6830,Farris,Sharper,3G5DB03L96S755772,Male,Tesla,Model S,2020,4
119,178-3306-1468,Candy,Jewsbury,WA1CGBFE4CD055050,Female,Tesla,Model X,2015,1
120,391-6839-0597,Flemming,Hornbuckle,SCFAB22332K498673,Male,Tesla,Model 3,2021,0
121,255-8809-8051,Grange,Sibson,1FA6P0G77E5232121,Male,Tesla,Model 3,2022,3
122,145-3672-9828,Judie,McCarney,1GYUKHEF2AR660376,Female,Tesla,Model 3,2017,6
123,742-3589-2227,Gearard,Kerr,JTHBE1D28E5209135,Male,Tesla,Model 3,2015,0
124,530-9000-0074,Gerrilee,Pendlenton,1GYS3KEF7BR522447,Female,Tesla,Model 3,2020,8
125,019-1693-8627,Lydia,Vido,3VW8S7AT1FM881082,Female,Tesla,Model Y,2018,5
126,376-4074-9056,Fallon,Weller,5N1AT2ML6FC714794,Female,Tesla,Model Y,2015,4
127,512-3137-3043,Dore,Rowter,WAUKF98E36A454805,Male,Tesla,Model 3,2019,3
128,421-9890-4359,Alanah,Buckle,2CTALBEW3A6183301,Female,Tesla,Model X,2020,2
129,577-0113-2100,Jere,Chang,WAUAFAFL3AA726406,Male,Tesla,Model Y,2019,7
130,453-0026-7482,Miles,Carney,WBAFR1C57BD421543,Male,Tesla,Model 3,2023,3
131,501-9080-8826,Vincenz,Flecknell,5TDDCRFH8ES265439,Male,Tesla,Model Y,2020,8
132,452-4666-9820,Mannie,Lisciandro,2G4GP5EX8F9032184,Male,Tesla,Model 3,2020,4
133,700-8935-0399,Viole,Crabb,KNAFU6A27B5125338,Genderqueer,Tesla,Model S,2019,3
134,790-1355-2209,Brett,Dinesen,WBAAZ33484K782534,Male,Tesla,Model 3,2019,5
135,781-5223-7373,Kordula,Layland,5N1AN0NW5FN659492,Genderfluid,Tesla,Model S,2022,5
136,644-2826-5137,Tonie,Pickavant,JM1GJ1T52E1758626,Female,Tesla,Model X,2017,3
137,016-0210-6218,Timi,McGahey,WDDGF5EB1AA248344,Genderfluid,Tesla,Model S,2019,1
138,616-6187-5700,Kiersten,Ryce,WBAWL135X8P163480,Female,Tesla,Model X,2018,4
139,278-2762-3572,Thom,Styche,3C3CFFJH7ET730022,Bigender,Tesla,Model 3,2020,1
140,352-5583-6001,Devon,Eggerton,1G6DN57S650779955,Female,Tesla,Model Y,2018,7
141,759-3495-6360,Bibi,Trower,WBAHL03526D228050,Female,Tesla,Model Y,2015,9
142,193-2887-0962,Sharyl,McAree,WA1CGAFE2BD791557,Female,Tesla,Model 3,2021,6
143,033-7923-8941,Maye,Englefield,1G6AP5SX2E0662440,Female,Tesla,Model X,2021,5
144,941-3632-4595,Vilma,Doxsey,3FADP4AJ0FM583435,Female,Tesla,Model 3,2016,4
145,067-2158-7395,Kevon,Buckbee,KNADH4A39A6560282,Male,Tesla,Model S,2016,0
146,351-2239-4120,Jecho,Grossman,WAUFL44D83N251861,Male,Tesla,Model S,2023,3
147,815-1722-1593,Jillene,Hacking,WVWAP7ANXDE722748,Female,Tesla,Model S,2021,5
148,591-8170-2482,Ulla,Faustin,1LNHL9DR0AG715307,Genderqueer,Tesla,Model X,2016,6
149,517-3096-4930,Reinaldo,Skae,TRUSC28N721448721,Male,Tesla,Model 3,2021,5
150,971-4358-8439,Joey,Auchterlonie,WP0AA2A95CS145733,Bigender,Tesla,Model X,2023,3
151,545-9129-6289,Rosabella,Titmuss,JHMZF1D43CS711773,Female,Tesla,Model X,2016,2
152,423-0944-8007,Pepe,Burbudge,5FNYF3H45FB669532,Male,Tesla,Model 3,2022,5
153,290-3547-8390,Ashleigh,Beazley,5GAER13D09J000153,Female,Tesla,Model Y,2015,2
154,111-0464-1388,Carling,Bille,3LN6L2LU3FR944133,Male,Tesla,Model X,2016,1
155,102-9177-4204,Meryl,Twitchett,19VDE1F39EE709978,Female,Tesla,Model S,2016,4
156,461-0131-5046,Falito,McDyer,WAUNF98P18A732781,Male,Tesla,Model Y,2019,6
157,770-3630-6038,Gunter,Murie,4T1BF1FK6FU604946,Male,Tesla,Model S,2018,0
158,558-5196-6486,Neil,Sharvill,WBADR63412G047232,Male,Tesla,Model S,2016,9
159,986-7943-9283,Libbey,Belliard,WBA3A9G55EN756382,Female,Tesla,Model S,2020,5
160,366-5746-9162,Iver,Samweyes,WAUFFBFL0BA736582,Male,Tesla,Model S,2016,3
161,702-9044-9274,Burt,Arstall,YV1672MK1C2628424,Male,Tesla,Model 3,2015,3
162,544-1626-2914,Nanon,Brislane,JHMZF1C67DS120138,Female,Tesla,Model Y,2017,5
163,389-6439-1542,Vivien,Greenwood,5UXFG43538L412622,Female,Tesla,Model Y,2017,4
164,754-8481-2604,Franklin,Dubose,5GAER13708J810262,Male,Tesla,Model Y,2019,4
165,106-0298-7287,Nicolis,Blacksland,WBANU5C55AC253889,Male,Tesla,Model 3,2019,7
166,065-0504-1618,Briana,Duny,1N6AD0CW2EN925606,Female,Tesla,Model X,2019,3
167,124-5159-6454,Caroline,Sloam,3D73M4CLXBG124117,Female,Tesla,Model 3,2021,5
168,383-5402-9341,Adorne,Pigeon,1D7RW2BK8BS524428,Female,Tesla,Model X,2023,3
169,211-7490-0767,Nichol,Yeiles,5FRYD3H43EB958962,Female,Tesla,Model 3,2020,1
170,135-5985-4613,Maxy,Jagielski,WAUAFAFL8EN240589,Male,Tesla,Model X,2019,6
171,484-9232-8437,Vida,Mallabone,JN1BJ0HP0FM271099,Female,Tesla,Model 3,2019,4
172,326-4044-1962,Georgia,Gerriet,WAULC68E23A399867,Genderfluid,Tesla,Model S,2022,2
173,340-6626-5195,Daphne,Conaghan,WAUED54B61N147380,Female,Tesla,Model Y,2019,2
174,638-7037-7986,Hurlee,Vost,1GD422CG6EF430938,Male,Tesla,Model Y,2021,3
175,020-5547-5886,Osborn,McBrearty,WVGAV3AX2EW592682,Male,Tesla,Model Y,2018,4
176,926-5564-1813,Tomasina,Hellin,3VWAL7AJXAM023213,Female,Tesla,Model X,2015,4
177,449-0828-7621,Gardener,Found,WBA3V9C50EP928817,Male,Tesla,Model X,2015,4
178,458-9580-3587,Jose,Jorat,1GTN1TEH3EZ923711,Male,Tesla,Model S,2019,3
179,113-6922-2210,Saree,Hughland,1G6DG8E53C0664302,Female,Tesla,Model 3,2018,5
180,677-8062-7402,Adrienne,Fish,SAJWA4FC9EM376939,Female,Tesla,Model S,2019,5
181,860-4846-2142,Adriena,MacAdie,WBAPM7C58AE338640,Female,Tesla,Model S,2020,3
182,601-6378-3865,Randolf,Hartley,WAUBF78E98A357714,Male,Tesla,Model 3,2020,6
183,743-2663-4340,Jennifer,Cuffin,4T1BF3EK8BU017705,Female,Tesla,Model Y,2022,6
184,770-4157-0289,Levi,Carcas,WAUBVAFB0BN231928,Male,Tesla,Model Y,2021,8
185,256-0570-5119,Magda,Cuxson,JTJHY7AX8A4729046,Female,Tesla,Model S,2021,7
186,504-4770-6148,Ethelda,Spiers,JTHBE5C26C5168803,Non-binary,Tesla,Model Y,2019,6
187,663-9048-6721,Minny,Oakeshott,WAUAF78E17A067123,Bigender,Tesla,Model X,2016,3
188,839-4172-5573,Lauree,Kerkham,WAUML44DX3N378828,Female,Tesla,Model Y,2017,10
189,326-4429-0550,Fayette,Dickerson,WAUVT58E04A983155,Female,Tesla,Model 3,2021,4
190,077-7060-8999,Esme,Scone,WBAFU9C56CD269320,Male,Tesla,Model 3,2019,6
191,042-4732-0208,York,Spore,WAUAH94F46N747593,Agender,Tesla,Model X,2016,6
192,689-0957-8725,Torry,Robelet,JN8AE2KP7F9176743,Male,Tesla,Model X,2017,4
193,661-5644-1663,Issy,Breadmore,WBAKE3C54BE255689,Female,Tesla,Model S,2019,5
194,643-1433-9134,Wendall,Scurry,WAUEF98E88A231398,Male,Tesla,Model X,2022,7
195,998-3023-1674,Tera,Woan,WA1EV94L47D157107,Female,Tesla,Model 3,2021,9
196,060-9522-9433,Orazio,Wallis,KMHCT4AE2CU105279,Male,Tesla,Model 3,2023,6
197,326-5888-8740,Camile,Hardwicke,JH4CU2E83CC378648,Female,Tesla,Model Y,2018,0
198,531-3660-9320,Josiah,Linscott,WA1CV74LX7D751955,Male,Tesla,Model Y,2022,3
199,418-4544-1807,Fredelia,Riccelli,WBADT43461G628228,Female,Tesla,Model Y,2017,1
200,769-7735-9639,Roanna,Silbert,WAUDV74F68N930281,Female,Tesla,Model X,2017,8
201,684-9272-5535,Corabel,Tingley,5XYKT3A16CG339935,Female,Tesla,Model Y,2023,4
202,534-3916-3787,Nestor,Steinson,2G4GU5GX9E9609566,Male,Tesla,Model S,2022,2
203,984-3256-6514,Myrtice,Croucher,JN1CV6EK8AM173452,Female,Tesla,Model X,2015,3
204,335-7563-7041,Irwin,Clunan,2C3CA6CT9BH492226,Male,Tesla,Model Y,2023,6
205,472-9630-3869,Norman,Delafont,WVGEF9BP4ED300347,Male,Tesla,Model S,2017,6
206,868-8509-0009,Clarke,Gavahan,JM1NC2MF1D0889453,Male,Tesla,Model S,2020,4
207,248-3966-1996,Genevieve,Benbrick,WBAEV33464P169960,Polygender,Tesla,Model Y,2019,4
208,762-7027-5768,Elsie,Merner,5FNYF3H20AB290378,Female,Tesla,Model 3,2020,1
209,145-8331-4851,Gisele,Conyard,WA1LFAFPXDA551908,Female,Tesla,Model 3,2021,6
210,156-5987-2269,Jarib,Freemantle,WAUHF98PX7A879144,Male,Tesla,Model S,2022,3
211,519-6022-1552,Cahra,Langford,19UUA66284A749429,Genderfluid,Tesla,Model 3,2020,2
212,454-9174-7783,Sven,Yaakov,WBAPT7C57AC840280,Male,Tesla,Model 3,2017,5
213,824-0766-6726,Delly,Tatershall,JTHBE1BL2E5485726,Female,Tesla,Model Y,2020,2
214,283-3647-0681,Karlan,Wollers,1FMNE1BW0AD059101,Male,Tesla,Model X,2022,4
215,569-0370-0095,Wes,Fernihough,KMHTC6ADXEU964660,Male,Tesla,Model 3,2020,4
216,831-6785-9469,Itch,Murrthum,5NPDH4AE9CH864550,Male,Tesla,Model S,2020,5
217,930-9159-4734,Christophorus,De Freyne,JM1NC2JF9F0378841,Male,Tesla,Model 3,2023,4
218,924-8253-5633,Nadine,Cadney,WBA3B5C5XEF134740,Female,Tesla,Model S,2019,7
219,124-5228-9410,Genni,Fawltey,1GYS3BEF6CR195072,Female,Tesla,Model 3,2019,2
220,172-4357-6126,Trev,Venditto,WAUDGAFL0AA336762,Male,Tesla,Model X,2023,4
221,967-5545-6889,Montague,Killough,19UYA41683A611260,Male,Tesla,Model 3,2023,4
222,682-8406-1979,Myrwyn,Allan,JTJBM7FX6F5409266,Male,Tesla,Model S,2016,2
223,133-4482-7884,Megan,Lowfill,1N4AL2AP6BN409506,Bigender,Tesla,Model Y,2023,5
224,266-0334-0478,Thaddeus,Burds,1G6DP1ED2B0065307,Male,Tesla,Model S,2019,6
225,188-0365-6929,Ferrell,Brok,1GYUCCEF5AR316976,Male,Tesla,Model 3,2017,5
226,877-7920-9898,Isabella,Deer,WBA3N9C56EK118380,Female,Tesla,Model 3,2017,2
227,593-6859-4429,Torry,Demangeot,KNADM4A3XD6111144,Male,Tesla,Model S,2016,3
228,219-3083-7308,Georgiana,Pigrome,WAUHFAFLXCN978762,Female,Tesla,Model 3,2022,5
229,897-8505-8740,Jody,Beamond,WA1YD64B44N382901,Male,Tesla,Model X,2022,0
230,119-7814-9141,Gizela,Pigot,JTDKDTB32D1663222,Female,Tesla,Model S,2021,4
231,839-2447-1042,Bart,Beer,WBAYE8C52ED489945,Bigender,Tesla,Model X,2017,4
232,752-2132-5780,Hussein,Poon,1G6AM5SX1D0358183,Male,Tesla,Model S,2020,5
233,475-9059-9423,Lyndell,Henighan,WAUDV94F17N170254,Female,Tesla,Model S,2021,5
234,901-5900-4245,Geno,Virgoe,WAUHGBFC5DN768073,Male,Tesla,Model Y,2023,5
235,268-4014-2899,Sanders,Taylot,5N1AR1NB6AC007461,Male,Tesla,Model X,2019,3
236,557-2196-3573,Valaree,Motten,JH4DC54856S077254,Female,Tesla,Model S,2022,0
237,013-4016-9141,Laney,Northcote,3N1AB6AP7CL118909,Male,Tesla,Model 3,2016,3
238,881-0738-1318,Florrie,Cockett,JH4CL96928C083714,Female,Tesla,Model X,2017,4
239,793-2507-1392,Bordy,Blanking,5TDDCRFH2FS557945,Male,Tesla,Model X,2022,2
240,946-3636-5170,Kali,Walwood,2C3CA4CD8AH514907,Female,Tesla,Model S,2019,4
241,649-8511-2721,Padriac,De Cruce,5N1AN0NU8EN425831,Male,Tesla,Model 3,2018,5
242,594-9413-0357,Annabel,Gillard,1G6AP5SX9F0066002,Female,Tesla,Model Y,2017,5
243,090-9439-5725,Edmund,Camin,WAUGL58E25A340879,Male,Tesla,Model Y,2021,6
244,427-4555-6800,Aggy,Jose,3GYFNFEY8BS821690,Female,Tesla,Model X,2023,1
245,305-1696-4905,Radcliffe,Vondrak,WBAET37435N594307,Male,Tesla,Model Y,2015,0
246,262-1670-9036,Ali,Shank,KNDJT2A5XD7229557,Male,Tesla,Model S,2020,4
247,992-5960-7070,Faustina,Caurah,WBAGN83423D556253,Female,Tesla,Model Y,2021,2
248,100-8151-5555,Mallorie,Philipsen,WBAGN83554D621347,Female,Tesla,Model S,2015,3
249,879-9126-1499,Estell,Fullylove,4T1BD1FK2FU237968,Female,Tesla,Model 3,2020,3
250,756-8623-4822,Val,Alessandrucci,WP1AA2A28DL473691,Male,Tesla,Model Y,2019,7
251,992-7641-6058,Betta,Shrimpton,WBAUN9C56AV761468,Female,Tesla,Model Y,2017,0
252,809-0398-0136,Elton,Pudan,JH4DC538X4S169247,Male,Tesla,Model Y,2015,3
253,926-1623-2820,Torey,Churn,WBAVL1C59FV623491,Female,Tesla,Model Y,2023,2
254,273-5137-3695,Lucie,Gravestone,WBA3B5C55DF805441,Genderfluid,Tesla,Model X,2015,9
255,497-4767-7566,Fairleigh,Long,1G6DJ577680113643,Genderfluid,Tesla,Model S,2023,4
256,657-5495-3561,Woody,Humbell,WAUGGBFC1CN781039,Male,Tesla,Model 3,2015,4
257,664-5955-7782,Carly,Lugsdin,SCFAD01A65G691180,Female,Tesla,Model S,2019,3
258,232-6713-7695,Nikolaos,Tissiman,1G6DW677170615661,Male,Tesla,Model X,2018,6
259,449-4328-7118,Annmaria,Delahunty,WBAKN9C55FD804752,Female,Tesla,Model X,2022,4
260,566-2214-0725,Allegra,Fores,WAUMR44E16N008170,Female,Tesla,Model Y,2016,6
261,263-1806-2829,Garry,Balducci,WAUGFAFC0DN215632,Male,Tesla,Model Y,2017,3
262,983-1206-1404,Barnabe,Giriardelli,3LN6L2LU5FR693776,Male,Tesla,Model 3,2020,7
263,738-8434-2823,Dorie,Joburn,3D73M3CL6AG068282,Male,Tesla,Model X,2021,3
264,046-3223-4827,Royce,Jencken,5NMSG3ABXAH154996,Male,Tesla,Model S,2017,6
265,264-8431-0674,Mariele,Roskruge,1G6DJ8ED1B0560138,Female,Tesla,Model X,2019,5
266,877-7228-9306,Ernst,Aimson,WAULK98K99A467777,Male,Tesla,Model S,2017,8
267,393-7566-6639,Guinevere,Barter,1VWAP7A37EC689457,Female,Tesla,Model Y,2020,3
268,075-3533-6846,Kristos,Dutton,1G6AB5RA8E0005710,Male,Tesla,Model 3,2021,6
269,470-5512-9709,Claresta,Turnpenny,3D7JB1ETXBG886582,Female,Tesla,Model Y,2017,4
270,504-2744-5100,Vasilis,Bowley,1N6AA0CJ7FN769447,Male,Tesla,Model Y,2022,7
271,468-9082-0032,Yance,Vittore,WVGAV3AX2EW224423,Male,Tesla,Model 3,2019,2
272,089-8727-7272,Nana,Weatherill,2G61N5S33D9994751,Female,Tesla,Model 3,2021,2
273,041-4254-8736,Oren,Mower,SCBBR53W26C872427,Male,Tesla,Model 3,2022,5
